0,,,allowAccess,amount,amountPerShare,,beginBidTime,,borrowerId,borrowerLevel,,,,,currentIsRepaid,,,,displayLoanType,,,,finishedRatio,forbidComment,interest,,interestPerShare,,,,leftMonths,,,,loanId,loanType,,,,months,,nickName,,,,,,,oldLoan,openTime,,overDued,,,,picture,,principal,,productId,,readyTime,,,,repaidByGuarantor,,,,,,,,startTime,status,,surplusAmount,title,,,,,utmSource,,
4,,,False,21000,0,,1540452400000,,11106882,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742512,DEBX,,,,36,,WuYQ_152X4931682.yx,,,,,,,False,1540438743000,,False,,1540455636000.0,False,,,0,,26,,1540452671000,,,,False,,,,,,,,1541057200000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
5,,,False,136500,0,,1540452390000,,11078331,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741898,DEBX,,,,36,,MeiL_72414922498.yx,,,,,,,False,1540385529000,,False,,1540455634000.0,False,,,0,,26,,1540452674000,,,,False,,,,,,,,1541057190000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
6,,,False,84000,0,,1540452398000,,11106560,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742476,DEBX,,,,36,,LiDX_66614949486.yx,,,,,,,False,1540436960000,,False,,1540455631000.0,False,,,0,,26,,1540452684000,,,,False,,,,,,,,1541057198000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
7,,,False,52500,0,,1540452400000,,10982143,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742514,DEBX,,,,36,,GuoXH_18684875164.yx,,,,,,,False,1540438772000,,False,,1540455629000.0,False,,,0,,26,,1540452687000,,,,False,,,,,,,,1541057200000,IN_PROGRESS,,0,购买货物/原材/设备,,,,,debx-yx,,
8,,,False,136500,0,,1540452395000,,11099730,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742434,DEBX,,,,36,,HouX_90154957311.yx,,,,,,,False,1540434572000,,False,,1540455627000.0,False,,,0,,26,,1540452690000,,,,False,,,,,,,,1541057195000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
9,,,False,84000,0,,1540452391000,,11097021,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741922,DEBX,,,,36,,ZhanJX_35414942754.yx,,,,,,,False,1540393293000,,False,,1540455625000.0,False,,,0,,26,,1540452691000,,,,False,,,,,,,,1541057191000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
0,,,False,73500,0,,1540452392000,,11099224,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742385,DEBX,,,,36,,LongQ_522X4963139.yx,,,,,,,False,1540430667000,,False,,1540455622000.0,False,,,0,,26,,1540452699000,,,,False,,,,,,,,1541057192000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
1,,,False,177000,0,,1540452392000,,11093993,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741930,DEBX,,,,36,,LiuP_53364854619.yx,,,,,,,False,1540415671000,,False,,1540455620000.0,False,,,0,,26,,1540452700000,,,,False,,,,,,,,1541057192000,IN_PROGRESS,,0,购买货物/原材/设备,,,,,debx-yx,,
2,,,False,52500,0,,1540452391000,,11094755,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741909,DEBX,,,,36,,YuanWM_32124945460.yx,,,,,,,False,1540389603000,,False,,1540455618000.0,False,,,0,,26,,1540452701000,,,,False,,,,,,,,1541057191000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
3,,,False,84000,0,,1540452391000,,11096827,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741911,DEBX,,,,36,,LiG_02134945520.yx,,,,,,,False,1540389783000,,False,,1540455616000.0,False,,,0,,26,,1540452704000,,,,False,,,,,,,,1541057191000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
4,,,False,136500,0,,1540452388000,,11096423,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741869,DEBX,,,,36,,WuHQ_26124928916.yx,,,,,,,False,1540379853000,,False,,1540455613000.0,False,,,0,,26,,1540452715000,,,,False,,,,,,,,1541057188000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
5,,,False,68200,0,,1540452395000,,11105895,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742439,DEBX,,,,36,,ZhangD_03284875163.yx,,,,,,,False,1540434821000,,False,,1540455611000.0,False,,,0,,26,,1540452716000,,,,False,,,,,,,,1541057195000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
6,,,False,94500,0,,1540452397000,,11100870,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742471,DEBX,,,,36,,ZuoJN_00104958338.yx,,,,,,,False,1540436858000,,False,,1540455609000.0,False,,,0,,26,,1540452719000,,,,False,,,,,,,,1541057197000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
7,,,False,21000,0,,1540452392000,,11055204,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742384,DEBX,,,,36,,ZB_20181022112235.bjhh,,,,,,,False,1540430663000,,False,,1540455607000.0,False,,,0,,26,,1540452719000,,,,False,,,,,,,,1541057192000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
8,,,False,84000,0,,1540452388000,,11096818,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741868,DEBX,,,,36,,HuMY_00284955668.yx,,,,,,,False,1540379763000,,False,,1540455605000.0,False,,,0,,26,,1540452722000,,,,False,,,,,,,,1541057188000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
9,,,False,21000,0,,1540452398000,,11106887,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742486,DEBX,,,,36,,XueZA_52224926447.yx,,,,,,,False,1540437372000,,False,,1540455603000.0,False,,,0,,26,,1540452723000,,,,False,,,,,,,,1541057198000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
0,,,False,105000,0,,1540452398000,,11099889,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742482,DEBX,,,,36,,GaoHC_24154965428.yx,,,,,,,False,1540437183000,,False,,1540455600000.0,False,,,0,,26,,1540452726000,,,,False,,,,,,,,1541057198000,IN_PROGRESS,,0,日常生活消费,,,,,debx-yx,,
1,,,False,136500,0,,1540452397000,,11096032,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742460,DEBX,,,,36,,LiLF_32214938755.yx,,,,,,,False,1540436312000,,False,,1540455598000.0,False,,,0,,26,,1540452726000,,,,False,,,,,,,,1541057197000,IN_PROGRESS,,0,购买货物/原材/设备,,,,,debx-yx,,
2,,,False,45600,0,,1540452392000,,11093630,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741931,DEBX,,,,36,,GaoQ_34544916231.yx,,,,,,,False,1540415676000,,False,,1540455596000.0,False,,,0,,26,,1540452742000,,,,False,,,,,,,,1541057192000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
3,,,False,84000,0,,1540452398000,,11106082,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742484,DEBX,,,,36,,CaiL_59104961962.yx,,,,,,,False,1540437363000,,False,,1540455593000.0,False,,,0,,26,,1540452747000,,,,False,,,,,,,,1541057198000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
4,,,False,136500,0,,1540452399000,,11106558,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742494,DEBX,,,,36,,SunMG_54194951301.yx,,,,,,,False,1540437692000,,False,,1540455591000.0,False,,,0,,26,,1540452749000,,,,False,,,,,,,,1541057199000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
5,,,False,21000,0,,1540452395000,,11105605,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742438,DEBX,,,,36,,ZhongXK_10284946999.yx,,,,,,,False,1540434817000,,False,,1540455589000.0,False,,,0,,26,,1540452810000,,,,False,,,,,,,,1541057195000,IN_PROGRESS,,0,日常生活消费,,,,,debx-yx,,
6,,,False,42000,0,,1540452393000,,11082963,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742402,DEBX,,,,36,,YangSL_541X4939265.yx,,,,,,,False,1540431193000,,False,,1540455587000.0,False,,,0,,26,,1540452811000,,,,False,,,,,,,,1541057193000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
7,,,False,21000,0,,1540452389000,,11100270,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741877,DEBX,,,,36,,YuL_03104964921.yx,,,,,,,False,1540380663000,,False,,1540455585000.0,False,,,0,,26,,1540452812000,,,,False,,,,,,,,1541057189000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
8,,,False,31500,0,,1540452393000,,11096736,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742398,DEBX,,,,36,,ZhangQ_38944963337.yx,,,,,,,False,1540431102000,,False,,1540455583000.0,False,,,0,,26,,1540452813000,,,,False,,,,,,,,1541057193000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
9,,,False,31500,0,,1540452397000,,11106436,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742472,DEBX,,,,36,,WangXF_14664970015.yx,,,,,,,False,1540436943000,,False,,1540455581000.0,False,,,0,,26,,1540452816000,,,,False,,,,,,,,1541057197000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
0,,,False,73500,0,,1540452394000,,11077946,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742405,DEBX,,,,36,,LiuT_45714937873.yx,,,,,,,False,1540431207000,,False,,1540455579000.0,False,,,0,,26,,1540452816000,,,,False,,,,,,,,1541057194000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
1,,,False,42000,0,,1540452391000,,11096039,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741918,DEBX,,,,36,,HuJJ_240X4944328.yx,,,,,,,False,1540391647000,,False,,1540455576000.0,False,,,0,,26,,1540452818000,,,,False,,,,,,,,1541057191000,IN_PROGRESS,,0,日常生活消费,,,,,debx-yx,,
2,,,False,105000,0,,1540452392000,,11098573,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742390,DEBX,,,,36,,LiJD_07124955705.yx,,,,,,,False,1540430778000,,False,,1540455574000.0,False,,,0,,26,,1540452819000,,,,False,,,,,,,,1541057192000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
3,,,False,21000,0,,1540452389000,,11099617,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741879,DEBX,,,,36,,ZhaoYM_35744954118.yx,,,,,,,False,1540380963000,,False,,1540455572000.0,False,,,0,,26,,1540452823000,,,,False,,,,,,,,1541057189000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
4,,,False,31500,0,,1540452399000,,11096730,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742492,DEBX,,,,36,,GuoJ_52104962157.yx,,,,,,,False,1540437637000,,False,,1540455570000.0,False,,,0,,26,,1540452824000,,,,False,,,,,,,,1541057199000,IN_PROGRESS,,0,扩大生产/经营,,,,,debx-yx,,
5,,,False,31500,0,,1540452397000,,11106328,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742469,DEBX,,,,36,,WangF_06154940369.yx,,,,,,,False,1540436824000,,False,,1540455568000.0,False,,,0,,26,,1540452825000,,,,False,,,,,,,,1541057197000,IN_PROGRESS,,0,扩大生产/经营,,,,,debx-yx,,
6,,,False,84000,0,,1540452399000,,10947070,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2742504,DEBX,,,,36,,YangHL_60234873381.yx,,,,,,,False,1540438503000,,False,,1540455566000.0,False,,,0,,26,,1540452827000,,,,False,,,,,,,,1541057199000,IN_PROGRESS,,0,日常生活消费,,,,,debx-yx,,
7,,,False,126000,0,,1540452392000,,11098577,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741927,DEBX,,,,36,,LiuJ_44204958938.yx,,,,,,,False,1540415656000,,False,,1540455563000.0,False,,,0,,26,,1540452828000,,,,False,,,,,,,,1541057192000,IN_PROGRESS,,0,装修,,,,,debx-yx,,
8,,,False,31500,0,,1540452389000,,11095822,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741883,DEBX,,,,36,,YangF_00384902901.yx,,,,,,,False,1540381773000,,False,,1540455561000.0,False,,,0,,26,,1540452829000,,,,False,,,,,,,,1541057189000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
9,,,False,94500,0,,1540452392000,,11098759,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741929,DEBX,,,,36,,CaiSH_77144955293.yx,,,,,,,False,1540415666000,,False,,1540455559000.0,False,,,0,,26,,1540452838000,,,,False,,,,,,,,1541057192000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
0,,,False,94500,0,,1540452390000,,11099367,A,,,,,False,0.0,,,SDRZ,,,,100,False,9.6,,0,,,,36,,,,2741904,DEBX,,,,36,,GuDX_49324964858.yx,,,,,,,False,1540387113000,,False,,1540455557000.0,False,,,0,,26,,1540452838000,,,,False,,,,,,,,1541057190000,IN_PROGRESS,,0,资金周转,,,,,debx-yx,,
1,,,False,42000,0,,1540452394000,,11099622,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2742420,DEBX,,,,36,,SongLL_34294958102.yx,,,,,,,False,1540432208000,,False,,1540455555000.0,False,,,0,,26,,1540452844000,,,,False,,,,,,,,1541057194000,IN_PROGRESS,,0,日常生活消费,,,,,debx-yx,,
2,,,False,52500,0,,1540452391000,,11092161,A,,,,,False,0.0,,,SDRZ,,,,100,False,10.2,,0,,,,36,,,,2741915,DEBX,,,,36,,XieL_24114952810.yx,,,,,,,False,1540391583000,,False,,1540455553000.0,False,,,0,,26,,1540452846000,,,,False,,,,,,,,1541057191000,IN_PROGRESS,,0,日常生活消费,,,,,debx-yx,,
